runId,factor,factorLabel,x,runIndex,seed,ok,failureReason,phase,productionTurns,settlementTurns,successTurns,completionTurns,mutationTurns,preparedDishes,totalDishesRequired,redemptions,commonBasketSwaps,directExchanges,settlementSwaps,foodPieceSettlementSwaps,interactions,basketVelocity,directExchangeShare,settlementBurden,liquidityDepth,finalHoardingIndex,maxObservedHoardingIndex,scarcityPressureTotal,localScarcityEvents,localHoardingSkips,localDelayPasses,localBasketSkips
coordination_delay-x10-r001,coordination_delay,Coordination delay,0.1,1,economic-time:coordination_delay-x10-r001,true,,complete,182,80,262,262,444,24,24,144,49,50,24,24,547,2.229,0.407,0.044,7.18,0,2,0,0,0,10,0
coordination_delay-x10-r002,coordination_delay,Coordination delay,0.1,2,economic-time:coordination_delay-x10-r002,true,,complete,149,55,204,204,362,24,24,144,52,44,9,9,529,2.392,0.419,0.017,5.974,0,3,0,0,0,14,0
coordination_delay-x10-r003,coordination_delay,Coordination delay,0.1,3,economic-time:coordination_delay-x10-r003,true,,complete,147,45,192,192,353,24,24,144,36,49,18,18,527,2.25,0.476,0.034,6.143,0,3,0,0,0,6,0
coordination_delay-x10-r004,coordination_delay,Coordination delay,0.1,4,economic-time:coordination_delay-x10-r004,true,,complete,138,56,194,194,360,24,24,144,53,42,20,20,539,3.01,0.365,0.037,6.079,0,2,0,0,0,11,0
coordination_delay-x10-r005,coordination_delay,Coordination delay,0.1,5,economic-time:coordination_delay-x10-r005,true,,complete,165,57,222,222,394,24,24,144,53,47,16,16,540,2.486,0.405,0.03,6.188,0,2,0,0,0,9,0
coordination_delay-x10-r006,coordination_delay,Coordination delay,0.1,6,economic-time:coordination_delay-x10-r006,true,,complete,135,59,194,194,361,24,24,144,46,48,16,16,534,2.557,0.436,0.03,6.256,0,3,0,0,0,11,0
coordination_delay-x10-r007,coordination_delay,Coordination delay,0.1,7,economic-time:coordination_delay-x10-r007,true,,complete,159,78,237,237,412,24,24,144,45,50,21,21,540,2.228,0.431,0.039,5.768,0,3,0,0,0,10,0
coordination_delay-x10-r008,coordination_delay,Coordination delay,0.1,8,economic-time:coordination_delay-x10-r008,true,,complete,161,48,209,209,373,24,24,144,49,48,10,10,531,2.258,0.449,0.019,5.76,0,3,0,0,0,5,0
coordination_delay-x10-r009,coordination_delay,Coordination delay,0.1,9,economic-time:coordination_delay-x10-r009,true,,complete,142,80,222,222,390,24,24,144,53,43,20,20,540,2.631,0.371,0.037,5.933,0,3,0,0,0,7,0
coordination_delay-x10-r010,coordination_delay,Coordination delay,0.1,10,economic-time:coordination_delay-x10-r010,true,,complete,156,56,212,212,383,24,24,144,45,50,17,17,536,2.34,0.446,0.032,5.949,0,3,0,0,0,9,0
coordination_delay-x10-r011,coordination_delay,Coordination delay,0.1,11,economic-time:coordination_delay-x10-r011,true,,complete,133,45,178,178,342,24,24,144,48,44,19,19,535,3.011,0.396,0.036,5.952,0,2,0,0,0,10,0
coordination_delay-x10-r012,coordination_delay,Coordination delay,0.1,12,economic-time:coordination_delay-x10-r012,true,,complete,158,48,206,206,376,24,24,144,38,51,21,21,534,2.291,0.464,0.039,6.587,0,4,0,0,0,8,0
coordination_delay-x15-r001,coordination_delay,Coordination delay,0.15,1,economic-time:coordination_delay-x15-r001,true,,complete,131,63,194,194,354,24,24,144,58,37,19,19,538,3.175,0.325,0.035,6.054,0,2,0,0,0,12,0
coordination_delay-x15-r002,coordination_delay,Coordination delay,0.15,2,economic-time:coordination_delay-x15-r002,true,,complete,132,64,196,196,370,24,24,144,56,44,21,21,545,3.143,0.364,0.039,6.086,0,3,0,0,0,9,0
